Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3534;Mokissós;;;;;;;;;;;;;
PROV3533;Melitiní;;;;;;;;;;;;;
PROV3532;Shingar;;;;;;;;;;;;;
PROV3531;Colossae;;;;;;;;;;;;;
PROV3530;Silvan;;;;;;;;;;;;;
PROV3529;Sar-e Pol;;;;;;;;;;;;;
PROV3528;Ghur;;;;;;;;;;;;;
PROV3538;Quetta;;;;;;;;;;;;;
PROV3390;Grozny;;;;;;;;;;;;;
PROV1055;Shali;;;;;;;;;;;;;
RUS_1102;Shirvan;;;;;;;;;;;;;
AZB_1105;Arran;;;;;;;;;;;;;
PER_1112;Azarbayjan-e Sharqi;;;;;;;;;;;;;
PER_3353;Azarbayjan-e Qarbi;;;;;;;;;;;;;
PER_3350;Qa'inat;;;;;;;;;;;;;
PER_1122;Kordestan;;;;;;;;;;;;;
PER_1127;Iraq-e Ajami-ye Janubi;;;;;;;;;;;;;
PER_1121;Iraq-e Ajami-ye Shomali;;;;;;;;;;;;;
PER_1130;Yazd va Semnan;;;;;;;;;;;;;
EGY_897;Aleppo;;;;;;;;;;;;;
TUR_3300;Dayr al-Zur;;;;;;;;;;;;;
TUR_863;Bursa;;;;;;;;;;;;;
AFG_1215;Sistan;;;;;;;;;;;;;
AFG_1213;Hazaristan;;;;;;;;;;;;;
AFG_1218;East Pashtunistan;;;;;;;;;;;;;
AFG_1209;West Pashtunistan;;;;;;;;;;;;;
PROV310;Christiansand;;;;;;;;;;;;;
PROV3469;Flatow;;;;;;;;;;;;;
PROV3470;Adrianoúpoli;;;;;;;;;;;;;
PROV3471;Diu;;;;;;;;;;;;;
PROV3472;Baiona;;;;;;;;;;;;;
PROV3473;Aveiro;;;;;;;;;;;;;
PROV3426;Znojmo;;;;;;;;;;;;;
PROV3427;Gori;;;;;;;;;;;;;
PROV3428;Pasanauri;;;;;;;;;;;;;
PROV3429;Telavi;;;;;;;;;;;;;
PROV3430;Touila;;;;;;;;;;;;;
PROV3431;Taoudenni;;;;;;;;;;;;;
PROV3432;Cavalhon;;;;;;;;;;;;;
PROV3433;Plasencha;;;;;;;;;;;;;
PROV3434;PROV3434;;;;;;;;;;;;;
PROV3435;Kaytutu;;;;;;;;;;;
PROV3436;Efpatoría;;;;;;;;;;;;;
PROV3437;Ntzan'kói;;;;;;;;;;;
PROV3438;Ialysos;;;;;;;;;;;;;
PROV3439;Kaphâs;;;;;;;;;;;;;
PROV3440;Ryongjong;;;;;;;;;;;;;
PROV3441;Gazli;;;;;;;;;;;;;
PROV3442;Darvaza;;;;;;;;;;;;;
PROV3425;Mlýnská ctvrt;;;;;;;;;;;;;
PROV3424;Salismünde;;;;;;;;;;;;;
PROV3423;PROV3423;;;;;;;;;;;;;
PROV3422;Baia Mare;;;;;;;;;;;;;
PROV3421;PROV3421;;;;;;;;;;;;;
PROV3420;PROV3420;;;;;;;;;;;;;
PROV3419;Toropets;;;;;;;;;;;;;
PROV3418;Rychnov;;;;;;;;;;;;;
PROV3417;PROV3417;;;;;;;;;;;;;
PROV3416;Bautzen;;;;;;;;;;;;;
PROV398;Arlon;;;;;;;;;;;;;
PROV3403;Nyba;;;;;;;;;;;;;
PROV2216;Hashim;;;;;;;;;;;;;
PROV3402;San Antonio;;;;;;;;;;;;;
PROV3401;Tarragona;;;;;;;;;;;;;
PROV3400;Bragança;;;;;;;;;;;;
PROV3399;Versailles;;;;;;;;;;;;;
PROV3398;Benevento;;;;;;;;;;;;;
PROV3397;Pontecorvo;;;;;;;;;;;;;
PROV3396;Elba;;;;;;;;;;;;;
PROV3395;Anai;;;;;;;;;;;;;
PROV3394;Angram;;;;;;;;;;;;;
PROV3393;Bay Islands;;;;;;;;;;;;;
PROV3404;al-Salman;;;;;;;;;;;;;
PROV1756;al-Arish;;;;;;;;;;;;;
PROV3405;Kobajjep;;;;;;;;;;;;;
PROV3406;Artik;;;;;;;;;;;;;
PROV3407;Amara;;;;;;;;;;;;;
PROV3408;Cherbourg;;;;;;;;;;;;;
PROV3409;Metz;;;;;;;;;;;;;
PROV3410;Mataquescuintla;;;;;;;;;;;;;
PROV2198;Escondido;;;;;;;;;;;;;
PROV3411;Tafalu;;;;;;;;;;;;;
PROV3412;Jan Mayen;;;;;;;;;;;;;
PROV3413;Spratly Islands;;;;;;;;;;;;;
PROV3414;Îles Kerguelen;;;;;;;;;;;;;
PROV3415;Sam Nuea;;;;;;;;;;;;;
PROV3392;Nikópsis;;;;;;;;;;;;;
PROV3391;Nazran;;;;;;;;;;;;;
PROV3390;Kidero;;;;;;;;;;;;;
PROV3389;Botlikh;;;;;;;;;;;;;
PROV3388;Borisov;;;;;;;;;;;;;
PROV1009;Mozhaisk;;;;;;;;;;;;;
PROV3387;Urkarakh;;;;;;;;;;;;;
PROV3386;Qobustan;;;;;;;;;;;;;
PROV3385;Shaybah;;;;;;;;;;;;;
PROV3384;Kurakh;;;;;;;;;;;;;
PROV3383;Antwerpen;;;;;;;;;;;;;
PROV3382;Kuryaka;;;;;;;;;;;;;
PROV3381;Canutama;;;;;;;;;;;;;
PROV3380;Taminju;;;;;;;;;;;;;
PROV3379;Bitburg;;;;;;;;;;;;;
PROV3378;An Cabhan;;;;;;;;;;;;;
PROV3377;Bunj;;;;;;;;;;;;;
PROV3376;Nukayan;;;;;;;;;;;;;
PROV3375;Kholm;;;;;;;;;;;;;
PROV3374;Veligrádi;;;;;;;;;;;;;
PROV3373;Filippoúpoli;;;;;;;;;;;;;
PROV3372;Sulina;;;;;;;;;;;;;
PROV3371;Callatis;;;;;;;;;;;;;
PROV3370;Ferlach;;;;;;;;;;;;;
PROV3369;Wenshan;;;;;;;;;;;;;
PROV3368;Ivangorod;;;;;;;;;;;;;
PROV3367;Pechory;;;;;;;;;;;;;
PROV3366;Palanga;;;;;;;;;;;;;
PROV3365;Neustadt;;;;;;;;;;;;;
PROV3364;Sanmen;;;;;;;;;;;;;
PROV3363;Tegucigalpa;;;;;;;;;;;;;
PROV2195;Trujillo;;;;;;;;;;;;;
PROV3362;Afrin;;;;;;;;;;;;;
PROV3361;Byblos;;;;;;;;;;;;;
PROV3360;Fort Frühling;;;;;;;;;;;
PROV3359;Sambayu;;;;;;;;;;;;;
PROV3358;Golan;;;;;;;;;;;;;
PROV3357;Beersheba;;;;;;;;;;;;;
PROV3356;Kosan;;;;;;;;;;;;;
PROV3355;Anar Dara;;;;;;;;;;;;;
PROV3354;Sabzevar;;;;;;;;;;;;;
PROV3353;Orumiyeh;;;;;;;;;;;;;
PROV3352;Khurmal;;;;;;;;;;;;;
PROV3351;Mahshahr;;;;;;;;;;;;;
PROV3350;Ganaveh;;;;;;;;;;;;;
PROV3349;Izeh;;;;;;;;;;;;;
PROV3347;Doúsmanes;;;;;;;;;;;;;
PROV3346;Ioustinianí Próti;;;;;;;;;;;
PROV3345;Tarsós;;;;;;;;;;;;;
PROV3344;Terneuzen;;;;;;;;;;;;;
PROV3343;Leuven;;;;;;;;;;;;;
PROV3342;Kilkis;;;;;;;;;;;;;
PROV3341;Augustow;;;;;;;;;;;;;
PROV3340;Lajes;;;;;;;;;;;;;
PROV3339;Rovaniemi;;;;;;;;;;;;;
PROV3338;Kiruna;;;;;;;;;;;;;
PROV3337;Boleslav;;;;;;;;;;;;;
PROV3336;Lublin;;;;;;;;;;;
PROV3335;Zlín;;;;;;;;;;;;;
PROV3334;Kutná Hora;;;;;;;;;;;;;
PROV3333;Príbram;;;;;;;;;;;;;
PROV3332;Bergsaß;;;;;;;;;;;;
PROV3329;Allenstein;;;;;;;;;;;;;
PROV3328;Elbing;;;;;;;;;;;;;
PROV3327;Ortelsburg;;;;;;;;;;;;;
PROV3326;Al-Abyad;;;;;;;;;;;;;
PROV693;Bouvet Island;;;;;;;;;;;;;
PROV3325;Tiraspol;;;;;;;;;;;;;
PROV3324;Riashiv;;;;;;;;;;;;;
PROV3323;Kefelong;;;;;;;;;;;;;
PROV3322;Karashar;;;;;;;;;;;;;
PROV3321;Tomurlik;;;;;;;;;;;;;
PROV3320;Anshiqaq;;;;;;;;;;;;;
PROV3319;Zaraghwa;;;;;;;;;;;;;
PROV3318;Arwa;;;;;;;;;;;;;
PROV3317;Cuera;;;;;;;;;;;;;
PROV3316;Zakatata;;;;;;;;;;;;;
PROV3315;Sótsi;;;;;;;;;;;;;
PROV3314;Boulogne;;;;;;;;;;;;;
PROV3313;Gap;;;;;;;;;;;;;
PROV3312;Lons;;;;;;;;;;;;;
PROV3311;Tupelo;;;;;;;;;;;;;
PROV3310;Galvez;;;;;;;;;;;;;
PROV3309;Ghwanin;;;;;;;;;;;;;
PROV3308;Episkopí;;;;;;;;;;;;;
PROV3307;Görice;;;;;;;;;;;;;
PROV3306;Miçova;;;;;;;;;;;;;
PROV3305;Christmas Island;;;;;;;;;;;;;
PROV3304;Komotiní;;;;;;;;;;;;;
PROV3303;Tsarevo;;;;;;;;;;;;;
PROV3302;Saránta Ekklisiés;;;;;;;;;;;;;
PROV3301;Nicaea;;;;;;;;;;;;;
PROV1352;Chumphon;;;;;;;;;;;;;
PROV1807;Menaka;;;;;;;;;;;;;
PROV867;Moúgla;;;;;;;;;;;;;
PROV3300;Dayr al-Zour;;;;;;;;;;;;;
PROV3299;Aksai Chin;;;;;;;;;;;;;
RUS_2700;Vologda;;;;;;;;;;;;;
PROV2689;Vorkuta;;;;;;;;;;;;;
NEJ_1164;Hassa;;;;;;;;;;;;;
PROV3298;Ayteke Bi;;;;;;;;;;;;;
PROV3297;Sibsongpanna;;;;;;;;;;;;;
PROV3296;Lubumbashi;;;;;;;;;;;;;
PROV3295;Pematang Siantar;;;;;;;;;;;;;
PROV1235;Shimla;;;;;;;;;;;;;
DEN_251;Island & Grønland;;;;;;;;;;;;;
TUR_887;Erzurum;;;;;;;;;;;;;
TAJ_1208;Tadzhikistan;;;;;;;;;;;;;
PROV308;Ålesund;;;;;;;;;;;;;
PROV306;Bodø;;;;;;;;;;
PROV305;Trondhjem;;;;;;;;;;;;;
AFG_1212;Herat;;;;;;;;;;;;;
PROV2519;Maymana;;;;;;;;;;;;;
PROV837;Mesolóngi;;;;;;;;;;;;;
PROV836;Lam;;;;;;;;;;;
PROV839;Spárti;;;;;;;;;;;;;
PROV840;Náfplio;;;;;;;;;;;;;
PROV841;Kalamáta;;;;;;;;;;;;;
PROV845;Kykládes;;;;;;;;;;;;;
PROV846;Dodekánisa;;;;;;;;;;;;;
PROV844;Mytilínni;;;;;;;;;;;;;
PROV848;Irákleio;;;;;;;;;;;;;
EGY_843;Aigaiou Pelagous;;;;;;;;;;;;;
PROV831;Yenisehir;;;;;;;;;;;;;
PROV832;Volos;;;;;;;;;;;;;
PROV833;Tríkala;;;;;;;;;;;;;
TUR_832;Epirus;;;;;;;;;;;;;
PROV826;Kérkyra;;;;;;;;;;;;;
PROV827;Zákynthos;;;;;;;;;;;;;
PROV847;Chania;;;;;;;;;;;;;
PROV838;Chalkís;;;;;;;;;;;;;
PROV805;Thessaloníki;;;;;;;;;;;;;
PROV821;Vodina;;;;;;;;;;;;;
PROV820;Grevena;;;;;;;;;;;;;
PROV822;Polygyros;;;;;;;;;;;;;
PROV3342;Kilkis;;;;;;;;;;;;;
PROV842;Pátra;;;;;;;;;;;;;
AUS_624;Burgenland;;;;;;;;;;;;;
PROV368;Isla Santa Margarita;;;;;;;;;;;;;
PROV1179;al-Hudaydah;;;;;;;;;;;;;
PROV1841;al-Fashir;;;;;;;;;;;;;
PROV928;Rowanduz;;;;;;;;;;;;;
PROV2196;Puerto Lempira;;;;;;;;;;;;;
PROV1091;Tskhinvali;;;;;;;;;;;;;
PROV2712;Skagerrak;;;;;;;;;;;;;
PROV2711;Kattegat;;;;;;;;;;;;;
PROV433;Nevers;;;;;;;;;;;;;
PROV946;Lépel;;;;;;;;;;;;;
PROV947;Pastovys;;;;;;;;;;;;;
PROV940;Brestas;;;;;;;;;;;;;
PROV937;Pružanai;;;;;;;;;;;;;
PROV939;Pinskas;;;;;;;;;;;;;
PROV509;Isbiliya;;;;;;;;;;;;;
PROV677;Akerman;;;;;;;;;;;;;
PROV834;Athína;;;;;;;;;;;;
PROV3293;Theodosioúpoli;;;;;;;;;;;;;
PROV3294;Zakho;;;;;;;;;;;;;
PROV1119;Kermanshah;;;;;;;;;;;;;
PROV1117;Sanandaj;;;;;;;;;;;;;
PROV1118;Saqqez;;;;;;;;;;;;;
PROV673;Balti;;;;;;;;;;;;;
PROV3286;Steinamanger;;;;;;;;;;;;;
PROV2638;Zabul;;;;;;;;;;;;;
PROV2643;Hajjiabad;;;;;;;;;;;;;
PROV3258;Kech;;;;;;;;;;;;;
PROV1210;Faizabad;;;;;;;;;;;;;
PROV3275;Tekalong;;;;;;;;;;;;;
PROV3276;Kutai Timur;;;;;;;;;;;;;
PROV3277;Estacion Verda;;;;;;;;;;;;;
PROV3278;Manifa;;;;;;;;;;;;;
PROV3281;Fraustadt;;;;;;;;;;;;;
PROV3282;Olsnitz;;;;;;;;;;;;;
PROV3283;Branau;;;;;;;;;;;;;
PROV3284;Mudabab;;;;;;;;;;;;;
PROV3285;Wadowice;;;;;;;;;;;;;
PROV3287;Olivenza;;;;;;;;;;;;;
PROV3288;Amfissa;;;;;;;;;;;;;
PROV3289;Tschakathurn;;;;;;;;;;;;;
PROV3280;Madawaska du Nord;;;;;;;;;;;;;
PROV3292;Al Salman;;;;;;;;;;;;;
PROV3290;Bosílenkrant;;;;;;;;;;;;;
PROV3291;Koumánovo;;;;;;;;;;;;;
PROV521;Lixboa;;;;;;;;;;;;;
RUS_994;Ingriya;;;;;;;;;;;;;
PROV3274;Svaneti;;;;;;;;;;;;;
PROV2095;Dithakong;;;;;;;;;;;;;
SWI_603;Mittelland;;;;;;;;;;;;;
SWI_607;Région Lémanique;;;;;;;;;;;;;
SWI_2568;Ticino;;;;;;;;;;;;;
PROV3273;Rumah;;;;;;;;;;;;;
PROV3270;Kreuznach;;;;;;;;;;;;;
PROV3271;Jura;;;;;;;;;;;;;
PROV3272;Brig;;;;;;;;;;;;;
BEL_387;Vlaanderen;;;;;;;;;;;;;
BEL_394;Wallonie;;;;;;;;;;;;;
PROV609;Sion;;;;;;;;;;;;;
PROV1623;Songjin;;;;;;;;;;;;;
PROV388;Brugge;;;;;;;;;;;;;
PROV389;Gent;;;;;;;;;;;;;
PROV390;Antwerpen;;;;;;;;;;;;;
PROV3269;Vithýnion;;;;;;;;;;;;;
PROV3268;Caerwysg;;;;;;;;;;;;;
PROV3267;Paderborn;;;;;;;;;;;;;
PROV3266;San Marino;;;;;;;;;;;;;
PROV3265;Essen;;;;;;;;;;;;;
PROV567;Gießen;;;;;;;;;;;;;
FRA_432;Franche-Comté;;;;;;;;;;;;;
FRA_411;Lorraine;;;;;;;;;;;;;
FRA_406;Champagne;;;;;;;;;;;;;
PROV3263;Fort William;;;;;;;;;;;;;
PROV3264;Nicobar Islands;;;;;;;;;;;;;
PROV882;Trapezoúnta;;;;;;;;;;;;;
PROV861;Skoutarion;;;;;;;;;;;;;
PROV828;Adrianople;;;;;;;;;;;;;
PROV860;Konstantinoúpoli;;;;;;;;;;;;;
PROV869;Smyrna;;;;;;;;;;;;;
RUS_1008;Moskva;;;;;;;;;;;;;
PROV958;Kiev;;;;;;;;;;;;;
PROV603;Zürich;;;;;;;;;;;;;
PROV1017;Oryol;;;;;;;;;;;;;
PROV1008;Moskva;;;;;;;;;;;;;
PROV372;København;;;;;;;;;;;;;
PROV809;Serdonpolis;;;;;;;;;;;;;
PROV619;Viden;;;;;;;;;;;;;
RUS_958;Kiev;;;;;;;;;;;;;
PROV744;Firenze;;;;;;;;;;;;;
PROV749;Roma;;;;;;;;;;;;;
PROV724;Genova;;;;;;;;;;;;;
PROV726;Milano;;;;;;;;;;;;;
PROV754;Napoli;;;;;;;;;;;;;
PROV729;Venedig;;;;;;;;;;;;;
PROV720;Torino;;;;;;;;;;;;;
PROV731;Esten;;;;;;;;;;;;;
PROV2721;Heligoland Bight;;;;;;;;;;;;;
RUS_959;Volyn;;;;;;;;;;;;;
druze;Druze;;;;;;;;;;;;;
PROV910;Azraq;;;;;;;;;;;;;
PROV1839;al-Fula;;;;;;;;;;;;;
PROV1806;Bayuda;;;;;;;;;;;;;
PROV2046;Mbeya;;;;;;;;;;;;;
PROV1850;Keren;;;;;;;;;;;;;
AUS_733;Friuli;;;;;;;;;;;;;
PAP_741;Emilia-Romagna;;;;;;;;;;;;;
arid_climate;Arid Climate;;;;;;;;;;;;;
CANAL_6;English Channel;;;;;;;;;;;;;
GRE_837;Hellas;;;;;;;;;;;;;
GRE_826;Peloponnisos;;;;;;;;;;;;;
#EGY_846;Nisiá Aigaíou;;;;;;;;;;;;;
PROV2669;Sondrio;;;;;;;;;;;;;
PROV3262;Beilun;;;;;;;;;;;;;
PROV3261;Pescara;;;;;;;;;;;;;
PROV2351;Magdalena;;;;;;;;;;;;;
PROV3260;Sado;;;;;;;;;;;;;
PROV1531;Tombara;;;;;;;;;;;;;
PROV2537;Birara;;;;;;;;;;;;;
PROV158;Portáiste Mór;;;;;;;;;;;;;
PROV29;Kyzylkum;;;;;;;;;;;;;
PROV49;Portáiste na gFrancach;;;;;;;;;;;;;
PROV52;Lochán Beag;;;;;;;;;;;;;
PROV75;Port-Aux-Basques;;;;;;;;;;;;;
PROV69;Ristigouche;;;;;;;;;;;;;
PROV683;Valbrich;;;;;;;;;;;;;
PROV43;Nacogdoches;;;;;;;;;;;;;
PROV134;San Angelo;;;;;;;;;;;;;
PROV135;Llano Estacado;;;;;;;;;;;;;
PROV85;Sonoma;;;;;;;;;;;;;
FRA_1901;Houet;;;;;;;;;;;;;
ASH_1910;Volta;;;;;;;;;;;;;
PROV155;Anoka;;;;;;;;;;;;;
PROV156;Kandiohyu;;;;;;;;;;;;;
PROV157;Bemijigamaag;;;;;;;;;;;;;
PROV92;Alta;;;;;;;;;;;;;
PROV93;Nueva Galicia;;;;;;;;;;;;;
PROV111;Shoshone;;;;;;;;;;;;;
PROV112;Búfalo;;;;;;;;;;;;;
PROV113;Manuel;;;;;;;;;;;;;
PROV114;Montañas Rocosas;;;;;;;;;;;;;
PROV116;Kutenai;;;;;;;;;;;;;
PROV117;Mni Wakan;;;;;;;;;;;;;
PROV119;Fuerte Manuel;;;;;;;;;;;;;
PROV120;Bde Hdakinyan;;;;;;;;;;;;;
PROV121;Chunkashke;;;;;;;;;;;;;
PROV122;Tabó;;;;;;;;;;;;;
PROV123;Majas;;;;;;;;;;;;;
PROV124;Tramperos;;;;;;;;;;;;;
PROV125;El Cuartelejo;;;;;;;;;;;;;
PROV126;Caraibeiras;;;;;;;;;;;;;
PROV127;Kansa;;;;;;;;;;;;;
PROV131;Fuerte Amangual;;;;;;;;;;;;;
PROV130;Boa Família;;;;;;;;;;;;;
PROV106;San Cristóbal;;;;;;;;;;;;;
PROV2702;Alty-Kuduk;;;;;;;;;;;;;
PROV686;Merv;;;;;;;;;;;;;
BUR_1334;Mandalay;;;;;;;;;;;;;
PROV579;Chiloe;;;;;;;;;;;
PROV574;Koblenz;;;;;;;;;;;;;
PROV547;Greifswald;;;;;;;;;;;;;
PROV57;An tÁth Dubh;;;;;;;;;;;;;
PROV2036;Mzizima;;;;;;;;;;;;;
PROV2681;Taipeh;;;;;;;;;;;;;
PROV1485;Tainan;;;;;;;;;;;;;
PROV1743;Nordhorn;;;;;;;;;;;;;
PROV1738;al-Jaghbub;;;;;;;;;;;;;
PROV1742;Wath;;;;;;;;;;;;;
PROV1744;Sabha;;;;;;;;;;;;;
PROV2016;Mpika;;;;;;;;;;;;;
PROV2017;Mwansabombwe;;;;;;;;;;;;;
PROV3104;Lake Nyasa;;;;;;;;;;;;;
PROV702;Lviv;;;;;;;;;;;;;
PROV952;Tarnopol;;;;;;;;;;;;;
PROV2605;Ngaanyatjarraku;;;;;;;;;;;;;
PROV2601;Wilkinkarra;;;;;;;;;;;;;
PROV2495;Tirari;;;;;;;;;;;;;
PROV1990;Kindu;;;;;;;;;;;;;
PROV1991;Rusozi;;;;;;;;;;;;;
PROV2496;Tèrra de Nutz;;;;;;;;;;;;;
PROV2603;Genamí;;;;;;;;;;;;;
PROV2507;Mpartve;;;;;;;;;;;;;
PROV2505;Arnhèm;;;;;;;;;;;;;
RUS_973;Kherson;;;;;;;;;;;;;
RUS_955;Zaporozhie;;;;;;;;;;;;;
RUS_976;Yekaterinoslav;;;;;;;;;;;;;
PROV3107;Lake Baikal;;;;;;;;;;;;;
PROV2589;Tsushima;;;;;;;;;;;;;
PROV1724;Sealtainn;;;;;;;;;;;;;
PROV1858;Aussa;;;;;;;;;;;;;
australia_new_zealand;Oceania;;;;;;;;;;;;;
polynesia;Polynesia;;;;;;;;;;;;;
PROV1377;Da Nang;;;;;;;;;;;;;
PROV1714;Grands Pasturals;;;;;;;;;;;;;
PROV2631;Unalakleet;;;;;;;;;;;;;
PROV1780;Deborus;;;;;;;;;;;;;
PROV2371;Allaaxira;;;;;;;;;;;;;
PROV2953;New Caen Bight;;;;;;;;;;;;;
PROV2954;Bay of Santa Maria;;;;;;;;;;;;;
PROV1930;Idah;;;;;;;;;;;;;
PROV1937;Wukari;;;;;;;;;;;;;
PROV1936;Nsukka;;;;;;;;;;;;;
PROV2697;Jingkiri;;;;;;;;;;;;;
PROV1081;Yakesa;;;;;;;;;;;;;
RUS_1072;Hailanpao;;;;;;;;;;;;;
PROV1085;Hailanpao;;;;;;;;;;;;;
PROV1600;Urumtsi;;;;;;;;;;;;;
PROV2839;Gulf of Patience;;;;;;;;;;;;;
PROV2831;Soya Strait;;;;;;;;;;;;;
PROV2830;East Sea;;;;;;;;;;;;;
PROV1557;Sining;;;;;;;;;;;;;
CHL_2327;Concepci??;;;;;;;;;;;
CHL_2332;Patagònia del Nòrd;;;;;;;;;;;;;
ARG_2391;Patagònia del Sud;Patagonie;Patagonia;;Patagonia;;;;;;;;;
CHL_2322;Còsta Penjala;;;;;;;;;;;;;
PROV2113;uMgungundlovu;;;;;;;;;;;;;
PROV2110;Tsaneng;;;;;;;;;;;;;
PROV2058;Catandica;;;;;;;;;;;;;
PROV2050;Manjacaze;;;;;;;;;;;;;
POR_2049;Gaza;;;;;;;;;;;;;
PROV2049;Bá an Lagúin;;;;;;;;;;;;;
POR_2060;Mozambique;;;;;;;;;;;;;
PROV2088;O'okiep;;;;;;;;;;;;;
PROV2093;Hantam;;;;;;;;;;;;;
PROV2084;Nomabeb;;;;;;;;;;;;;
PROV2081;Luhonono;;;;;;;;;;;;;
PROV2082;Epako;;;;;;;;;;;;;
PROV2080;Otjivanda;;;;;;;;;;;;;
PROV1788;Kahone;;;;;;;;;;;;;
PROV1540;Yonglongsha;;;;;;;;;;;;;
PROV2526;Palmyra and Line Islands;;;;;;;;;;;;;
TIB_1591;Tibetan Plateau;;;;;;;;;;;;;
PEU_2289;Maranyan Aleulya;;;;;;;;;;;;;
PROV2482;Tèrra de Van Dimen;;;;;;;;;;;;;
PROV2382;Ninoietat;;;;;;;;;;;;;
PROV1071;Qeshm;;;;;;;;;;;;;
PROV2786;Gulf of Oman;;;;;;;;;;;;;
PROV2787;Hormuz Strait;;;;;;;;;;;;;
PROV45;Marigot;;;;;;;;;;;;;
PROV2236;Sesoroli;;;;;;;;;;;;;
PEU_2297;Cusco;;;;;;;;;;;;;
PROV110;Uinta;;;;;;;;;;;;;
PROV1387;Kelang;;;;;;;;;;;;;
PROV1385;Tanjung Puteri;;;;;;;;;;;;;
PROV88;Northern Mojave;;;;;;;;;;;;;
CAN_18;New Caledonia;;;;;;;;;;;;;
ALD_1714;Saoura;;;;;;;;;;;;;
